date,exchange,FG,ZC,TA,PM,CF,WH,SR,RI,OI,MA,JR,RM,LR,SM,SF,WS,WT,RO,ER,ME,GN,RS,TC,CY,AP,al,fu,cu,zn,pb,bu,sn,ni,ru,au,ag,rb,hc,wr,sc,IF,TF,T,IC,IH,TS,p,v,jd,l,pp,fb,bb,i,j,jm,c,a,b,m,y,cs,s
2013-01-09,CZCE,FG1305,,TA1305,PM1309,CF1305,WH1309,SR1305,RI1309,OI1309,,,RM1305,,,,WS1305,,RO1305,ER1305,ME1305,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-10,CZCE,FG1305,,TA1305,PM1309,CF1305,WH1309,SR1305,RI1309,OI1309,,,RM1305,,,,WS1305,,RO1305,ER1305,ME1305,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-11,CZCE,FG1305,,TA1305,PM1309,CF1305,WH1309,SR1305,RI1309,OI1309,,,RM1305,,,,WS1305,,RO1305,ER1305,ME1305,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-14,CZCE,FG1305,,TA1305,PM1309,CF1305,WH1309,SR1305,RI1309,OI1309,,,RM1305,,,,WS1305,,RO1305,ER1305,ME1305,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-15,CZCE,FG1305,,TA1305,PM1309,CF1305,WH1309,SR1305,RI1309,OI1309,,,RM1305,,,,WS1305,,RO1305,ER1305,ME1305,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-16,CZCE,FG1305,,TA1305,PM1309,CF1305,WH1309,SR1305,RI1309,OI1309,,,RM1305,,,,WS1305,,RO1305,ER1305,ME1305,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-17,CZCE,FG1305,,TA1305,PM1309,CF1305,WH1309,SR1305,RI1309,OI1309,,,RM1305,,,,WS1305,,RO1305,ER1305,ME1305,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-18,CZCE,FG1305,,TA1305,PM1309,CF1305,WH1309,SR1305,RI1309,OI1309,,,RM1305,,,,WS1305,,RO1305,ER1305,ME1305,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-21,CZCE,FG1305,,TA1305,PM1309,CF1305,WH1309,SR1305,RI1309,OI1309,,,RM1305,,,,WS1305,,RO1305,ER1305,ME1305,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-22,CZCE,FG1305,,TA1305,PM1309,CF1305,WH1309,SR1305,RI1309,OI1309,,,RM1305,,,,WS1305,,RO1305,ER1305,ME1305,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-23,CZCE,FG1305,,TA1305,PM1309,CF1305,WH1309,SR1305,RI1309,OI1309,,,RM1305,,,,WS1305,,RO1305,ER1305,ME1305,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-24,CZCE,FG1305,,TA1305,PM1309,CF1305,WH1309,SR1309,RI1309,OI1309,,,RM1305,,,,WS1305,,RO1305,ER1305,ME1305,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-25,CZCE,FG1305,,TA1305,PM1309,CF1305,WH1309,SR1309,RI1309,OI1309,,,RM1305,,,,WS1305,,RO1305,ER1305,ME1305,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-28,CZCE,FG1305,,TA1305,PM1309,CF1305,WH1309,SR1309,RI1309,OI1309,,,RM1305,,,,WS1305,,RO1305,ER1305,ME1305,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-29,CZCE,FG1305,,TA1305,PM1309,CF1305,WH1309,SR1309,RI1309,OI1309,,,RM1305,,,,WS1305,,RO1305,ER1305,ME1305,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-30,CZCE,FG1305,,TA1305,PM1309,CF1305,WH1309,SR1309,RI1309,OI1309,,,RM1305,,,,WS1305,,RO1305,ER1305,ME1305,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-31,CZCE,FG1309,,TA1305,PM1309,CF1309,WH1309,SR1309,RI1309,OI1309,,,RM1305,,,,WS1305,,RO1305,ER1305,ME1305,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-01,CZCE,FG1309,,TA1305,PM1309,CF1309,WH1309,SR1309,RI1309,OI1309,,,RM1305,,,,WS1305,,RO1305,ER1305,ME1305,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-04,CZCE,FG1309,,TA1305,PM1309,CF1309,WH1309,SR1309,RI1309,OI1309,,,RM1305,,,,WS1305,,RO1305,ER1305,ME1305,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-05,CZCE,FG1309,,TA1305,PM1309,CF1309,WH1309,SR1309,RI1309,OI1309,,,RM1305,,,,WS1305,,RO1305,ER1305,ME1305,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
